Title,Year,Score,Certificate
The Godfather,(1972),9.2,R
The Shawshank Redemption,(1994),9.3,R
Schindler's List,(1993),9,R
Raging Bull,(1980),8.2,R
Casablanca,(1942),8.5,PG
Citizen Kane,(1941),8.3,PG
Gone with the Wind,(1939),8.2,Passed
The Wizard of Oz,(1939),8.1,PG
One Flew Over the Cuckoo's Nest,(1975),8.7,18+
Lawrence of Arabia,(1962),8.3,Approved
Vertigo,(1958),8.3,PG
Psycho,(1960),8.5,R
The Godfather Part II,(1974),9,R
On the Waterfront,(1954),8.1,Approved
Sunset Blvd.,(1950),8.4,Passed
Forrest Gump,(1994),8.8,PG-13
The Sound of Music,(1965),8.1,G
12 Angry Men,(1957),9,Approved
West Side Story,(1961),7.6,Approved
Star Wars,(1977),8.6,PG
2001: A Space Odyssey,(1968),8.3,G
E.T.,(1982),7.9,PG
The Silence of the Lambs,(1991),8.6,R
Chinatown,(1974),8.2,R
The Bridge on the River Kwai,(1957),8.2,PG
Singin' in the Rain,(1952),8.3,G
It's a Wonderful Life,(1946),8.6,PG
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.4,PG
Some Like It Hot,(1959),8.2,Passed
Ben-Hur,(1959),8.1,G
Apocalypse Now,(1979),8.5,R
Amadeus,(1984),8.4,R
The Lord of the Rings: The Return of the King,(2003),9,PG-13
Gladiator,(2000),8.5,R
Titanic,(1997),7.9,PG-13
From Here to Eternity,(1953),7.6,Passed
Saving Private Ryan,(1998),8.6,R
Unforgiven,(1992),8.2,R
Raiders of the Lost Ark,(1981),8.4,PG
Rocky,(1976),8.1,PG
A Streetcar Named Desire,(1951),7.9,PG
The Philadelphia Story,(1940),7.9,Not Rated
To Kill a Mockingbird,(1962),8.3,Approved
An American in Paris,(1951),7.2,Passed
The Best Years of Our Lives,(1946),8.1,Approved
My Fair Lady,(1964),7.8,G
A Clockwork Orange,(1971),8.3,R
Doctor Zhivago,(1965),7.9,PG-13
The Searchers,(1956),7.9,Passed
Jaws,(1975),8.1,PG
Patton,(1970),7.9,GP
Butch Cassidy and the Sundance Kid,(1969),8,PG
The Treasure of the Sierra Madre,(1948),8.2,Passed
"The Good, the Bad and the Ugly",(1966),8.8,Approved
The Apartment,(1960),8.3,Approved
Platoon,(1986),8.1,R
High Noon,(1952),8,PG
Braveheart,(1995),8.4,R
Dances with Wolves,(1990),8,PG-13
Jurassic Park,(1993),8.2,PG-13
The Exorcist,(1973),8.1,R
The Pianist,(2002),8.5,R
Goodfellas,(1990),8.7,R
The Deer Hunter,(1978),8.1,R
All Quiet on the Western Front,(1930),8.1,Passed
Bonnie and Clyde,(1967),7.7,R
The French Connection,(1971),7.7,18+
City Lights,(1931),8.5,G
It Happened One Night,(1934),8.1,Passed
A Place in the Sun,(1951),7.7,Passed
Midnight Cowboy,(1969),7.8,R
Mr. Smith Goes to Washington,(1939),8.1,Passed
Rain Man,(1988),8,R
Annie Hall,(1977),8,PG
Fargo,(1996),8.1,R
Giant,(1956),7.6,G
Shane,(1953),7.6,Not Rated
The Grapes of Wrath,(1940),8.1,Passed
The Green Mile,(1999),8.6,R
Close Encounters of the Third Kind,(1977),7.6,PG
Nashville,(1975),7.6,R
Network,(1976),8.1,R
The Graduate,(1967),8,PG
American Graffiti,(1973),7.4,PG
Pulp Fiction,(1994),8.9,R
Terms of Endearment,(1983),7.4,PG
Good Will Hunting,(1997),8.3,R
The African Queen,(1951),7.7,PG
Stagecoach,(1939),7.8,Passed
Mutiny on the Bounty,(1935),7.6,Passed
The Great Dictator,(1940),8.4,G
Double Indemnity,(1944),8.3,Passed
The Maltese Falcon,(1941),8,Passed
Wuthering Heights,(1939),7.5,Not Rated
Taxi Driver,(1976),8.2,R
Rear Window,(1954),8.5,PG
The Third Man,(1949),8.1,Approved
Rebel Without a Cause,(1955),7.6,PG-13
North by Northwest,(1959),8.3,Approved
Yankee Doodle Dandy,(1942),7.6,Passed
